,state,county,parks,pitches,sports_centres,schools
0,Kansas,Pratt,12,27,2,17
1,Kansas,Thomas,4,16,4,12
2,Kansas,Douglas,80,318,29,107
3,Kansas,Sherman,9,19,0,15
4,Kansas,Wabaunsee,6,20,2,26
5,Kansas,Sumner,12,54,0,61
6,Kansas,Barton,22,85,5,52
7,Kansas,Ellis,32,98,4,32
8,Kansas,Grant,1,9,0,16
9,Kansas,Osborne,7,17,3,17
10,Kansas,Finney,28,63,1,48
11,Kansas,McPherson,27,102,6,60
12,Kansas,Linn,14,20,0,20
13,Kansas,Logan,3,10,0,9
14,Kansas,Russell,11,15,0,24
15,Kansas,Jewell,5,6,0,14
16,Kansas,Lane,1,8,0,9
17,Kansas,Johnson,387,1677,112,473
18,Kansas,Sedgwick,191,883,26,369
19,Kansas,Morton,7,9,1,10
20,Kansas,Dickinson,7,43,2,25
21,Kansas,Cowley,41,151,3,98
22,Kansas,Shawnee,132,289,18,185
23,Kansas,Rice,7,37,1,20
24,Kansas,Saline,21,121,7,82
25,Kansas,Geary,31,39,2,40
26,Kansas,Harvey,29,77,2,53
27,Kansas,Nemaha,9,32,1,27
28,Kansas,Reno,38,119,3,75
29,Kansas,Seward,11,36,1,18
30,Kansas,Atchison,12,45,2,50
31,Kansas,Crawford,21,72,3,48
32,Kansas,Miami,18,76,3,79
33,Kansas,Stafford,4,17,0,17
34,Kansas,Marshall,8,32,7,28
35,Kansas,Jefferson,18,34,5,50
36,Kansas,Scott,6,11,0,8
37,Kansas,Gove,2,14,0,12
38,Kansas,Anderson,1,13,0,18
39,Kansas,Wallace,1,9,0,7
40,Kansas,Leavenworth,43,241,6,122
41,Kansas,Rooks,5,15,0,20
42,Kansas,Barber,6,18,0,8
43,Kansas,Kearny,1,22,0,16
44,Kansas,Stanton,1,20,0,6
45,Kansas,Cheyenne,2,6,0,9
46,Kansas,Ness,3,13,0,16
47,Kansas,Haskell,1,8,0,14
48,Kansas,Clay,11,21,1,26
