census_block_id	category	sub_category	value	devices	sub_category_sort_order	unit
010730027021	Population	Population	57	1	1	people
010730027021	Population	Median Age	59.5	1	2	people
010730027021	Age	<18	0.0	1	1	percent
010730027021	Age	18-24	0.0	1	2	percent
010730027021	Age	25-34	0.0	1	3	percent
010730027021	Age	35-44	0.0	1	4	percent
010730027021	Age	45-54	0.0	1	5	percent
010730027021	Age	55-64	1.0	1	6	percent
010730027021	Age	65+	0.0	1	7	percent
010730027021	Economic	Median HH Income	-6.66666666E8	1	1	dollar
010730027021	Economic	Median Home Value	-6.66666666E8	1	2	dollar
010730027021	Education	No HS	0.193	1	1	percent
010730027021	Education	HS	0.614	1	2	percent
010730027021	Education	Some College/2 Year	0.0	1	3	percent
010730027021	Education	Bachelor	0.0	1	4	percent
010730027021	Education	Higher Degree	0.193	1	5	percent
010730027021	Income	0-29K	0.2391	1	1	percent
010730027021	Income	30-74K	0.7609	1	2	percent
010730027021	Income	75-99K	0.0	1	3	percent
010730027021	Income	100-149K	0.0	1	4	percent
010730027021	Income	150K+	0.0	1	5	percent
010730027021	Race	African American	1.0	1	1	percent
010730027021	Race	Asian	0.0	1	2	percent
010730027021	Race	Hispanic	0.0	1	3	percent
010730027021	Race	Other or Mixed	0.0	1	4	percent
010730027021	Race	White	0.0	1	5	percent
011150401042	Population	Population	1240	1	1	people
011150401042	Population	Median Age	40.5	1	2	people
011150401042	Age	<18	0.3129	1	1	percent
011150401042	Age	18-24	0.0323	1	2	percent
011150401042	Age	25-34	0.0629	1	3	percent
011150401042	Age	35-44	0.2266	1	4	percent
011150401042	Age	45-54	0.0403	1	5	percent
011150401042	Age	55-64	0.1298	1	6	percent
011150401042	Age	65+	0.1952	1	7	percent
011150401042	Economic	Median HH Income	69397.0	1	1	dollar
011150401042	Economic	Median Home Value	162800.0	1	2	dollar
011150401042	Education	No HS	0.0	1	1	percent
011150401042	Education	HS	0.2611	1	2	percent
011150401042	Education	Some College/2 Year	0.3916	1	3	percent
011150401042	Education	Bachelor	0.2241	1	4	percent
011150401042	Education	Higher Degree	0.1232	1	5	percent
011150401042	Income	0-29K	0.1567	1	1	percent
011150401042	Income	30-74K	0.3938	1	2	percent
011150401042	Income	75-99K	0.2144	1	3	percent
011150401042	Income	100-149K	0.2082	1	4	percent
011150401042	Income	150K+	0.0268	1	5	percent
011150401042	Race	African American	0.0661	1	1	percent
011150401042	Race	Asian	0.0	1	2	percent
011150401042	Race	Hispanic	0.0	1	3	percent
011150401042	Race	Other or Mixed	0.0	1	4	percent
011150401042	Race	White	0.9339	1	5	percent
040050002002	Population	Population	2203	2	1	people
040050002002	Population	Median Age	45.7	2	2	people
040050002002	Age	<18	0.1834	2	1	percent
040050002002	Age	18-24	0.0567	2	2	percent
040050002002	Age	25-34	0.1262	2	3	percent
040050002002	Age	35-44	0.1189	2	4	percent
040050002002	Age	45-54	0.128	2	5	percent
040050002002	Age	55-64	0.1525	2	6	percent
