rollup_name	category	sub_category	value	devices	sub_category_sort_order	unit
MCCORMICK PARK	Age	<18	0.18425986	1264	1	percent
MCCORMICK PARK	Age	18-24	0.11532447	1264	2	percent
MCCORMICK PARK	Age	25-34	0.16087102	1264	3	percent
MCCORMICK PARK	Age	35-44	0.14131766	1264	4	percent
MCCORMICK PARK	Age	45-54	0.11564956	1264	5	percent
MCCORMICK PARK	Age	55-64	0.12651821	1264	6	percent
MCCORMICK PARK	Age	65+	0.15604315	1264	7	percent
MCCORMICK PARK	Economic	Median HH Income	65712.36759868421	1216.0	1	dollar
MCCORMICK PARK	Economic	Median Home Value	342615.68959731545	1192.0	2	dollar
MCCORMICK PARK	Education	No HS	0.04655732	1264	1	percent
MCCORMICK PARK	Education	HS	0.21188899	1264	2	percent
MCCORMICK PARK	Education	Some College/2 Year	0.32724268	1264	3	percent
MCCORMICK PARK	Education	Bachelor	0.26734062	1264	4	percent
MCCORMICK PARK	Education	Higher Degree	0.14697451	1264	5	percent
MCCORMICK PARK	Income	0-29K	0.24758559	1264	1	percent
MCCORMICK PARK	Income	30-74K	0.36272732	1264	2	percent
MCCORMICK PARK	Income	75-99K	0.12478979	1264	3	percent
MCCORMICK PARK	Income	100-149K	0.14577237	1264	4	percent
MCCORMICK PARK	Income	150K+	0.11912098	1264	5	percent
MCCORMICK PARK	Race	African American	0.00952914	1264	1	percent
MCCORMICK PARK	Race	Asian	0.01874283	1264	2	percent
MCCORMICK PARK	Race	Hispanic	0.04904656	1264	3	percent
MCCORMICK PARK	Race	Other or Mixed	0.07710055	1264	4	percent
MCCORMICK PARK	Race	White	0.84558884	1264	5	percent
